-,2011,2012,2013,2014,2015,2016,2017,2018,2019
전갱이,21,17,7,8,15,13,10,14,-
삼치,13,14,11,14,9,9,12,9,-
꽁치,37,38,26,27,42,36,25,24,-
학꽁치,-,-,-,1,1,0,1,0,-
방어,5,5,8,6,5,9,10,9,-
임연수어,7,9,6,3,8,6,4,5,-
다랑어,65,39,80,75,62,81,80,82,-
새치류,4,3,3,3,3,3,2,2,-
상어,2,1,1,2,1,1,1,1,-
가오리,11,11,12,11,12,13,10,9,-
보리멸,-,-,-,-,0,0,0,0,-
쥐치,35,33,30,32,27,29,29,27,-
준치,-,-,-,-,0,0,0,0,-
아귀,15,12,13,14,16,15,15,15,-
홍어,10,8,7,8,9,9,7,7,-
기타해산어,52,277,268,325,337,215,253,381,-
송어류,2,2,2,2,2,2,2,2,-
잉어,2,2,2,2,2,2,1,2,-
붕어,2,2,1,1,1,1,1,1,-
미꾸라지,8,8,8,9,9,9,9,9,-
뱀장어,7,4,5,6,7,10,12,13,-
연어,9,7,11,15,19,16,17,22,-
쏘가리,-,-,-,-,0,0,0,0,-
가물치,-,-,-,-,0,0,0,0,-
메기,2,2,2,3,3,3,3,3,-
향어,1,1,1,1,1,1,1,1,-
기타담수어,2,3,2,3,2,3,3,2,-
소계,822,811,747,898,748,792,777,884,-
"대하, 중하",1,1,1,-,1,1,1,1,-
새우,198,214,209,227,215,237,266,290,-
게,16,14,15,15,10,7,8,8,-
기타게,32,3,19,28,4,4,5,6,-
전복,2,3,3,4,5,5,7,9,-
소라고동,1,1,1,1,1,1,1,1,-
굴,92,127,67,111,27,39,46,46,-
바지락,18,20,17,21,19,17,18,23,-
백합,2,2,2,3,3,2,2,2,-
가무락,1,-,-,-,0,0,0,0,-
동죽,-,-,1,-,0,0,1,0,-
피조개,2,1,1,1,1,1,1,1,-
새조개,-,-,-,-,0,0,0,0,-
골뱅이,2,2,2,2,2,2,2,2,-
개량조개,-,-,-,-,0,0,0,0,-
홍합,19,21,13,17,17,17,22,16,-
꼬막,1,1,1,-,0,1,1,1,-
키조개,6,5,4,6,5,5,3,3,-
맛조개,-,-,-,-,0,0,0,0,-
재치조개,1,1,1,1,1,1,1,1,-
가리비,16,13,13,14,25,27,14,17,-
기타패류,6,17,15,16,17,13,12,11,-
오징어,178,227,224,272,235,240,195,203,-
문어,11,14,17,21,25,36,40,92,-
주꾸미,24,23,21,28,30,25,29,28,-
낙지,33,40,30,37,30,36,31,30,-
기타연체동물,144,37,38,43,42,35,38,36,-
해삼,3,2,2,2,2,4,5,4,-
성게,-,-,1,1,1,0,0,0,-
우렁쉥이,5,3,4,3,8,11,10,13,-
기타수산동물,5,7,5,7,7,5,4,3,-
소계,1049,1109,913,1037,1024,1084,1177,1262,-
(식물성),1034,1087,899,1021,1012,1049,1162,1250,-
콩기름,413,450,273,255,243,236,297,287,-
참기름,33,28,30,30,29,31,29,29,-
들기름,14,12,14,13,15,17,18,13,-
유채유,107,93,67,99,97,122,136,124,-
미강유,16,14,12,13,14,13,12,12,-
면실유,-,8,3,-,1,0,0,0,-
고추씨유,-,-,-,-,0,0,0,0,-
팜유,288,320,330,429,443,466,500,592,-
야자유,58,59,60,56,47,40,47,56,-
옥배유,45,44,38,42,39,38,35,41,-
기타,60,60,71,83,85,84,88,97,-
(동물성),15,22,14,16,12,34,14,12,-
우지,5,5,5,5,4,5,6,5,-
돈지,-,-,-,-,0,0,0,0,-
어유,10,17,9,11,8,29,8,7,-
