"시도별","지출목적별",2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
"전국","오렌지",94.47,82.54,97.92,102.38,92.72,100.00,100.666,85.846,96.453,99.298
"전국","참외",100.18,95.88,105.04,93.50,92.49,100.00,96.131,107.633,133.841,141.562
"전국","수박",114.47,124.08,135.98,120.71,105.66,100.00,112.952,138.688,136.799,130.880
"전국","딸기",92.29,81.69,101.32,90.73,91.58,100.00,91.463,87.759,111.744,98.099
"전국","바나나",112.23,108.03,106.59,108.79,112.52,100.00,97.016,95.130,76.659,76.018
"전국","키위",97.48,94.03,92.19,92.91,90.29,100.00,105.282,97.529,102.503,96.648
"전국","블루베리",97.38,91.00,96.57,96.91,96.56,100.00,-,-,-,-
"전국","아몬드",87.52,89.50,92.02,92.74,97.95,100.00,-,-,-,-
"전국","과일가공품",108.60,106.53,104.44,104.48,103.52,100.00,101.118,100.568,99.653,81.558
"전국","채소 및 해조",127.45,111.71,121.69,116.17,115.91,100.00,92.154,107.783,106.446,101.706
"전국","배추",176.45,124.55,141.15,138.53,169.62,100.00,88.453,157.685,131.869,132.778
"전국","상추",137.36,126.26,131.89,119.57,117.19,100.00,87.117,101.972,106.350,88.416
"전국","시금치",139.47,125.07,141.16,118.84,128.43,100.00,82.887,109.724,107.278,92.144
"전국","양배추",205.66,132.82,162.70,158.51,133.46,100.00,76.513,135.232,136.197,124.534
"전국","미나리",133.89,124.72,129.92,116.11,114.59,100.00,91.886,90.246,97.740,87.316
"전국","깻잎",133.54,115.80,123.76,109.42,111.23,100.00,99.745,95.814,98.949,92.031
"전국","부추",132.15,107.46,108.92,102.52,114.15,100.00,86.881,92.600,108.502,111.912
"전국","무",169.36,136.16,181.73,155.65,148.44,100.00,85.256,115.059,119.738,138.534
"전국","열무",149.27,129.49,117.90,114.04,125.64,100.00,94.575,110.548,124.025,162.011
"전국","당근",166.35,135.79,146.61,149.08,122.64,100.00,115.573,174.252,115.034,137.001
"전국","감자",116.14,112.57,148.37,122.26,97.07,100.00,84.747,86.257,107.494,105.538
"전국","고구마",134.68,116.40,127.89,102.40,96.00,100.00,90.494,93.186,115.396,103.654
"전국","도라지",111.00,107.60,102.60,100.52,99.47,100.00,104.007,102.966,98.671,95.462
"전국","콩나물",110.51,110.46,110.00,108.65,100.51,100.00,99.674,98.455,92.758,90.265
"전국","버섯",87.82,91.79,93.16,94.80,96.93,100.00,101.777,97.678,97.332,94.168
"전국","오이",119.26,115.94,112.15,104.73,107.09,100.00,92.900,99.926,98.027,87.306
"전국","풋고추",121.75,105.10,106.76,107.03,107.81,100.00,104.125,98.058,106.386,89.727
"전국","호박",128.82,102.93,120.83,105.23,110.40,100.00,99.532,103.600,110.891,112.061
"전국","가지",122.59,110.72,116.74,110.62,106.52,100.00,98.361,105.634,113.943,115.112
"전국","토마토",140.11,118.34,119.45,117.86,112.64,100.00,105.100,116.386,124.690,116.958
"전국","파",115.39,95.21,114.66,113.59,120.26,100.00,71.156,103.329,107.254,98.423
"전국","양파",114.93,79.01,92.93,115.34,107.05,100.00,74.660,126.546,87.412,81.761
"전국","마늘",99.74,102.00,118.72,123.72,132.15,100.00,81.134,93.978,101.292,110.084
"전국","브로콜리",143.84,132.20,130.06,116.25,128.41,100.00,110.262,118.630,134.637,104.794
"전국","고사리",101.45,99.13,98.99,97.73,97.62,100.00,100.178,95.924,94.064,89.454
"전국","파프리카",120.29,105.05,120.10,104.60,110.37,100.00,-,-,-,-
"전국","단무지",99.19,99.08,95.76,92.54,93.79,100.00,101.806,97.405,94.350,92.346
"전국","김",145.50,141.82,139.28,129.00,107.61,100.00,98.955,93.247,87.146,82.582
"전국","맛김",110.88,112.80,114.42,111.38,102.94,100.00,98.007,96.851,95.057,88.275
"전국","미역",106.70,105.03,104.47,101.18,100.36,100.00,98.062,95.633,86.469,68.025
"전국","과자 · 빙과류 및 당류",102.44,101.72,99.97,100.07,98.98,100.00,98.492,91.083,87.639,84.192
"전국","초콜릿",103.90,102.47,99.85,99.38,100.14,100.00,95.618,81.918,81.466,81.283
"전국","사탕",98.45,97.06,97.36,97.47,98.47,100.00,102.025,98.973,91.426,84.423
"전국","껌",94.21,93.65,95.57,97.20,99.01,100.00,100.410,101.526,101.565,99.349
"전국","아이스크림",99.88,98.14,96.27,97.06,99.84,100.00,96.162,89.309,87.952,84.556
"전국","비스킷",99.93,100.95,100.93,103.44,100.49,100.00,99.200,87.783,82.396,80.391
